seed,method,harm_to_correction_ratio,n,correction_opportunities,corrections_retained,harm_opportunities,harms_realized,recovery_selection_rate,negative_transfer_prevention,recovery_retention,test_utility_per_10000,calibration_utility_per_10000,test_minus_calibration_utility
105,Two-stage,1.0,5744,135.0,135.0,63.0,63.0,1.0,0.0,1.0,125.34818941504179,85.7449088960343,39.603280519007484
105,Frozen Lite-CF (ungated),1.0,5744,135.0,15.0,63.0,2.0,0.724408077994429,0.9682539682539683,0.1111111111111111,22.632311977715876,,
105,Prospective gate Lite-CF,1.0,5744,135.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,,
105,All-row multinomial (safety),1.0,5744,135.0,0.0,63.0,0.0,0.001218662952646225,1.0,0.0,0.0,,
105,Always PDRF,1.0,5744,135.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,,
105,Always RO-PDRF-Lite,1.0,5744,135.0,135.0,63.0,63.0,1.0,0.0,1.0,125.34818941504179,,
105,Conditional Lite-CF,2.0,5744,135.0,56.0,63.0,12.0,0.8642061281337048,0.8095238095238095,0.4148148148148148,55.710306406685234,58.949624866023576,-3.2393184593383424
105,All-row multinomial,2.0,5744,135.0,111.0,63.0,48.0,0.9738857938718662,0.23809523809523814,0.8222222222222222,26.114206128133706,37.51339764201501,-11.399191513881302
105,Two-stage,2.0,5744,135.0,51.0,63.0,7.0,0.4016364902506963,0.8888888888888888,0.37777777777777777,64.4150417827298,42.87245444801715,21.54258733471265
105,Frozen Lite-CF (ungated),2.0,5744,135.0,15.0,63.0,2.0,0.724408077994429,0.9682539682539683,0.1111111111111111,19.15041782729805,,
105,Prospective gate Lite-CF,2.0,5744,135.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,,
105,All-row multinomial (safety),2.0,5744,135.0,0.0,63.0,0.0,0.001218662952646225,1.0,0.0,0.0,,
105,Always PDRF,2.0,5744,135.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,,
105,Always RO-PDRF-Lite,2.0,5744,135.0,135.0,63.0,63.0,1.0,0.0,1.0,15.668523676880223,,
105,Conditional Lite-CF,5.0,5744,135.0,16.0,63.0,2.0,0.745125348189415,0.9682539682539683,0.11851851851851852,10.445682451253482,48.231511254019296,-37.78582880276581
105,All-row multinomial,5.0,5744,135.0,0.0,63.0,0.0,0.001218662952646225,1.0,0.0,0.0,5.359056806002144,-5.359056806002144
105,Two-stage,5.0,5744,135.0,26.0,63.0,2.0,0.14327994428969357,0.9682539682539683,0.1925925925925926,27.855153203342617,37.51339764201501,-9.65824443867239
105,Frozen Lite-CF (ungated),5.0,5744,135.0,15.0,63.0,2.0,0.724408077994429,0.9682539682539683,0.1111111111111111,8.704735376044567,,
