method,fault_type,batch,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
All-row multinomial (utility 1:1),offset,9,utility_per_10000,10,200.0,-40.13240945205021,440.1324094520502,151.5151515151515,15.151515151515152,439.3939393939394,-424.24242424242425,787.8787878787879
All-row multinomial (utility 1:1),offset,10,accuracy,10,0.4859322033898305,0.47611860580889986,0.49574580097076115,0.4864406779661017,0.475635593220339,0.4938559322033898,0.4635593220338983,0.5101694915254237
All-row multinomial (utility 1:1),offset,10,macro_auroc,10,0.8113998348028153,0.8008442597382607,0.8219554098673699,0.8163418827844046,0.7997538284519502,0.8236173440655351,0.7894304944941681,0.8273498999920209
All-row multinomial (utility 1:1),offset,10,correction_opportunities,10,24.4,16.59856364825786,32.20143635174214,25.5,17.25,32.75,6.0,41.0
All-row multinomial (utility 1:1),offset,10,harm_opportunities,10,12.9,5.854955086328213,19.945044913671786,11.5,5.75,18.75,1.0,33.0
All-row multinomial (utility 1:1),offset,10,negative_transfer_prevention,10,0.33772512575144154,0.0930351237430887,0.5824151277597944,0.18859649122807015,0.12937062937062938,0.5062500000000001,0.0,1.0
All-row multinomial (utility 1:1),offset,10,recovery_retention,10,0.6785290035964354,0.5140540171531103,0.8430039900397606,0.6414285714285715,0.6027777777777777,0.8644189383070301,0.3333333333333333,1.0
All-row multinomial (utility 1:1),offset,10,utility_per_10000,10,67.79661016949152,16.914613984909792,118.67860635407324,55.08474576271186,10.593220338983052,122.88135593220339,-16.949152542372882,194.91525423728814
All-row multinomial (utility 1:1),stuck_at,8,accuracy,10,0.510989010989011,0.4794902079623417,0.5424878140156802,0.5054945054945055,0.489010989010989,0.5274725274725275,0.43956043956043955,0.6043956043956044
All-row multinomial (utility 1:1),stuck_at,8,macro_auroc,10,0.8881018785815338,0.8741846059185459,0.9020191512445217,0.8859826117395813,0.8703166138990469,0.899144976878428,0.8683483686885047,0.925230345465106
All-row multinomial (utility 1:1),stuck_at,8,correction_opportunities,10,4.0,0.8727273773643831,7.127272622635617,2.0,2.0,3.0,1.0,14.0
All-row multinomial (utility 1:1),stuck_at,8,harm_opportunities,10,1.3,-0.3877976674930579,2.9877976674930578,0.0,0.0,1.0,0.0,7.0
All-row multinomial (utility 1:1),stuck_at,8,negative_transfer_prevention,10,0.7285714285714285,0.41102051417592356,1.0461223429669335,1.0,0.4642857142857143,1.0,0.0,1.0
All-row multinomial (utility 1:1),stuck_at,8,recovery_retention,10,0.6566666666666666,0.3702921694804403,0.9430411638528929,0.7833333333333333,0.5,1.0,0.0,1.0
All-row multinomial (utility 1:1),stuck_at,8,utility_per_10000,10,252.7472527472527,-57.40803858913162,562.902544083637,109.89010989010988,27.47252747252747,192.3076923076923,-219.78021978021977,1098.901098901099
All-row multinomial (utility 1:1),stuck_at,9,accuracy,10,0.5684848484848486,0.5310888358616459,0.6058808611080513,0.5636363636363636,0.5378787878787878,0.5803030303030303,0.49696969696969695,0.6909090909090909
All-row multinomial (utility 1:1),stuck_at,9,macro_auroc,10,0.87946221900728,0.8679967838933423,0.8909276541212178,0.8750362254044924,0.8665360902634616,0.887633594225647,0.8627376168602989,0.9077648337991303
All-row multinomial (utility 1:1),stuck_at,9,correction_opportunities,10,8.7,4.989786390350796,12.410213609649203,7.5,5.5,10.5,3.0,21.0
All-row multinomial (utility 1:1),stuck_at,9,harm_opportunities,10,2.7,0.3624375983840977,5.037562401615903,1.0,1.0,4.25,0.0,10.0
