seed,fault_type,fault_scale,fault_prevalence,stream,method,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
104,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5236768802228412,0.836216096215789,0.5988119174791022,2.5830297101813726,0.7849823143475398,0.34011765993418525,0.33722508299298765,0.1306056888509172
104,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5194986072423399,0.832222970618215,0.5973932578115303,2.522869531687989,0.793186948087448,0.3462071472236408,0.3462071472236408,0.12952162692666613
104,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5236768802228412,0.8352783162879888,0.5997744001374413,2.5189761173441534,0.7832155957955719,0.337669702205164,0.33477712526396647,0.12980773031529666
104,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5550139275766016,0.8446941459875134,0.6145917327723464,2.469990843015514,0.745882156772598,0.3149903144801,0.3144817802312898,0.12148685972660857
104,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5473537604456824,0.8411885236284128,0.6138002615611408,2.3950590467496373,0.751142158878006,0.32303649794419687,0.322216655605221,0.12123230338858393
104,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5550139275766016,0.8438672815149878,0.616272388078086,2.399653333577363,0.7442726929040328,0.31312768923830253,0.3126191549894924,0.12057323201302524
104,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.49512534818941506,0.8168558769163959,0.5722523711578803,2.46973603784055,0.8065784097948259,0.3288463617130997,0.32780398357985263,0.1349787485713464
104,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.4986072423398329,0.82132926737866,0.5793939873688193,2.3354107913380693,0.7803242065578393,0.3254896461052745,0.32548964610527453,0.12666656874839158
104,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.49512534818941506,0.8185250409169891,0.5754832955312087,2.394757063751455,0.8009545259719718,0.3260595902273634,0.3250172120941163,0.13411273336230387
105,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5215877437325905,0.8294917261559318,0.5943255467951541,1.8332165656148038,0.6782219235689014,0.23046426585166965,0.2304642658516697,0.09401872908570062
105,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.532033426183844,0.8317711449501631,0.5978852961786559,1.7428246434532193,0.6575302161552198,0.21204695065093293,0.21105245147988327,0.08815180708418081
105,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5222841225626741,0.8304326777649136,0.5958035649286688,1.791212611526307,0.6721494199080434,0.23242488065465078,0.2324248806546508,0.09407850867604232
