analysis_set,seed,fault_type,prevalence,stream,method,class,n,auroc,auprc,recall
strict,106,stuck_at,0.4,strict_fault_applied_available,Always PDRF,6,237,0.7532085457994179,0.3083689770741469,0.6160337552742616
strict,106,stuck_at,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1,230,0.7786159780806114,0.62011740243163,0.6434782608695652
strict,106,stuck_at,0.4,strict_fault_applied_available,Always RO-PDRF-Full,2,220,0.890785735645933,0.7240691219758332,0.55
strict,106,stuck_at,0.4,strict_fault_applied_available,Always RO-PDRF-Full,3,230,0.9206251351935972,0.8300475505084436,0.5608695652173913
strict,106,stuck_at,0.4,strict_fault_applied_available,Always RO-PDRF-Full,4,253,0.7825084614382273,0.35983377631567426,0.11462450592885376
strict,106,stuck_at,0.4,strict_fault_applied_available,Always RO-PDRF-Full,5,266,0.8411830859199282,0.7414357925814987,0.6090225563909775
strict,106,stuck_at,0.4,strict_fault_applied_available,Always RO-PDRF-Full,6,237,0.754836132782945,0.32231635993091523,0.5780590717299579
strict,107,drift,0.4,strict_fault_applied_available,Safe-CF-12,1,230,0.8396279472204196,0.5556378234013811,0.5391304347826087
strict,107,drift,0.4,strict_fault_applied_available,Safe-CF-12,2,220,0.9042912679425837,0.784184650600686,0.45454545454545453
strict,107,drift,0.4,strict_fault_applied_available,Safe-CF-12,3,230,0.8925264979450573,0.8049482392815116,0.4956521739130435
strict,107,drift,0.4,strict_fault_applied_available,Safe-CF-12,4,253,0.7389299663547155,0.30339490506423805,0.07509881422924901
strict,107,drift,0.4,strict_fault_applied_available,Safe-CF-12,5,266,0.8479692821798085,0.72182224246827,0.5864661654135338
strict,107,drift,0.4,strict_fault_applied_available,Safe-CF-12,6,237,0.8527148150885232,0.5218915340965123,0.9493670886075949
strict,107,drift,0.4,strict_fault_applied_available,Shrink-6,1,230,0.836210253082414,0.5331075482617803,0.5347826086956522
strict,107,drift,0.4,strict_fault_applied_available,Shrink-6,2,220,0.8990542763157896,0.7685641172834321,0.45
strict,107,drift,0.4,strict_fault_applied_available,Shrink-6,3,230,0.8909005696156895,0.8001671374899094,0.4782608695652174
strict,107,drift,0.4,strict_fault_applied_available,Shrink-6,4,253,0.7166846531395027,0.2900964342338061,0.07509881422924901
strict,107,drift,0.4,strict_fault_applied_available,Shrink-6,5,266,0.8447689737163422,0.7060175774059552,0.5789473684210527
strict,107,drift,0.4,strict_fault_applied_available,Shrink-6,6,237,0.8470560910463362,0.4788050926574274,0.9493670886075949
strict,107,drift,0.4,strict_fault_applied_available,Tree-6,1,230,0.8362426995457496,0.5347010258423622,0.5347826086956522
strict,107,drift,0.4,strict_fault_applied_available,Tree-6,2,220,0.8990430622009571,0.7685619134468605,0.45
strict,107,drift,0.4,strict_fault_applied_available,Tree-6,3,230,0.8908897541279113,0.8001643771411591,0.4782608695652174
