method,seed,view,metric,value
Always RO-PDRF-Lite,105,observation_weighted_overall,macro_auroc,0.8247870224167929
Always RO-PDRF-Lite,105,equal_weight_batches,macro_auroc,0.8564984669273089
Always RO-PDRF-Lite,105,worst_batch,macro_auroc,0.8112889788083298
Always RO-PDRF-Lite,105,B8-9_pooled,macro_auroc,0.8690079261681359
Always RO-PDRF-Lite,105,B10,macro_auroc,0.8112889788083298
Always RO-PDRF-Lite,105,observation_weighted_overall,utility_per_10000,125.34818941504179
Always RO-PDRF-Lite,105,equal_weight_batches,utility_per_10000,193.25989453108096
Always RO-PDRF-Lite,105,worst_batch,utility_per_10000,91.10169491525424
Always RO-PDRF-Lite,105,B8-9_pooled,utility_per_10000,283.203125
Always RO-PDRF-Lite,105,B10,utility_per_10000,91.10169491525424
Always RO-PDRF-Lite,106,observation_weighted_overall,accuracy,0.5071378830083566
Always RO-PDRF-Lite,106,equal_weight_batches,accuracy,0.5489833142375516
Always RO-PDRF-Lite,106,worst_batch,accuracy,0.49322033898305084
Always RO-PDRF-Lite,106,B8-9_pooled,accuracy,0.5712890625
Always RO-PDRF-Lite,106,B10,accuracy,0.49322033898305084
Always RO-PDRF-Lite,106,observation_weighted_overall,macro_auroc,0.8252479952425584
Always RO-PDRF-Lite,106,equal_weight_batches,macro_auroc,0.8565977091250044
Always RO-PDRF-Lite,106,worst_batch,macro_auroc,0.8142828161186432
Always RO-PDRF-Lite,106,B8-9_pooled,macro_auroc,0.8675779800777874
Always RO-PDRF-Lite,106,B10,macro_auroc,0.8142828161186432
Always RO-PDRF-Lite,106,observation_weighted_overall,utility_per_10000,66.15598885793872
Always RO-PDRF-Lite,106,equal_weight_batches,utility_per_10000,95.6329452092164
Always RO-PDRF-Lite,106,worst_batch,utility_per_10000,52.96610169491525
Always RO-PDRF-Lite,106,B8-9_pooled,utility_per_10000,126.953125
Always RO-PDRF-Lite,106,B10,utility_per_10000,52.96610169491525
Always RO-PDRF-Lite,107,observation_weighted_overall,accuracy,0.4937325905292479
