seed,repeat,C,auroc,auprc,brier,threshold,threshold_tie_count
109,5,5.0,0.7590511860174781,0.9371201579922543,0.1932070846568465,0.875,1
110,1,0.01,0.598420013166557,0.7549998219728189,0.24660139765507014,0.55,1
110,2,0.01,0.6524028966425279,0.8000337329366394,0.2440954660341082,0.55,1
110,3,0.01,0.6010533245556288,0.7622424441199386,0.24518472402202335,0.525,1
110,4,0.01,0.6135615536537196,0.7556070594971673,0.2474162045776322,0.55,1
110,5,0.01,0.5898617511520737,0.7581007431780094,0.24686526034471634,0.55,1
110,1,0.05,0.6622778143515471,0.7976619211137496,0.23630815510122902,0.6,1
110,2,0.05,0.6932192231731403,0.8002886520945851,0.23777350962271235,0.65,2
110,3,0.05,0.5727452271231073,0.7420450817650258,0.24371919595968664,0.6,1
110,4,0.05,0.739302172481896,0.8474058797471175,0.22610839359361287,0.6,1
110,5,0.05,0.7373271889400922,0.8468913725388864,0.23121867659253237,0.575,1
110,1,0.1,0.7057274522712311,0.8180490362402911,0.22510588823303976,0.675,1
110,2,0.1,0.7741935483870968,0.8535920060404697,0.2223971677767885,0.625,1
110,3,0.1,0.7649769585253458,0.8456212054333843,0.21743124911465098,0.65,1
110,4,0.1,0.795260039499671,0.8693833392638757,0.21442249119646428,0.65,2
110,5,0.1,0.7432521395655037,0.8339414632398809,0.22385721066122324,0.6,1
110,1,0.5,0.7788018433179724,0.8400384681542481,0.20384780587270054,0.8500000000000001,1
110,2,0.5,0.8354180381830152,0.8642364738006842,0.1899184903612419,0.8500000000000001,1
110,3,0.5,0.80513495720869,0.8607900026346935,0.19111092632168059,0.775,1
110,4,0.5,0.8564845292955892,0.8900167963019778,0.17748274694338623,0.825,2
110,5,0.5,0.8439763001974984,0.881550585188981,0.18581205793291816,0.825,2
110,1,1.0,0.8281764318630678,0.869639221668735,0.18363840286008898,0.9,3
110,2,1.0,0.8518762343647136,0.8845696555597933,0.17458194170772,0.9,1
110,3,1.0,0.8439763001974984,0.8753333164600439,0.1806414610032668,0.9,1
110,4,1.0,0.8426596445029625,0.8726295734786905,0.17674998138613662,0.9,2
110,5,1.0,0.8670177748518763,0.884241852757808,0.17261600576712496,0.9,2
110,1,5.0,0.8367346938775511,0.8663212134182596,0.1734246759084258,0.9,1
110,2,5.0,0.8512179065174457,0.8690676946065615,0.16448058372076865,0.8500000000000001,1
110,3,5.0,0.8393680052666228,0.8762012404542078,0.1721655409453085,0.9,1
110,4,5.0,0.815009874917709,0.8415689149480179,0.18080016625336193,0.825,2
110,5,5.0,0.8314680710994076,0.8654577030406222,0.16917065789607216,0.9,1
