seed,fault_type,method,class,n,auroc,auprc,recall
104,gaussian,RO-PDRF-Lite,6,237,0.7389772771261566,0.32962542570029674,0.41350210970464135
104,gaussian,Lite-CF,1,230,0.7320282644747278,0.37035596746903865,0.5478260869565217
104,gaussian,Lite-CF,2,220,0.8408829246411483,0.5511157318345221,0.5318181818181819
104,gaussian,Lite-CF,3,230,0.8350439829836327,0.5808256611485132,0.5130434782608696
104,gaussian,Lite-CF,4,253,0.6938312523596805,0.28068443940630805,0.18181818181818182
104,gaussian,Lite-CF,5,266,0.8624606387764282,0.7395610494679213,0.6804511278195489
104,gaussian,Lite-CF,6,237,0.7288140961349647,0.316414458605472,0.3291139240506329
104,offset,PDRF,1,230,0.7422020333117023,0.5221997090356535,0.5956521739130435
104,offset,PDRF,2,220,0.8948938397129187,0.7292875264542167,0.4818181818181818
104,offset,PDRF,3,230,0.8596005479847142,0.6019633949419779,0.5
104,offset,PDRF,4,253,0.7432467198353486,0.3290388927567538,0.03557312252964427
104,offset,PDRF,5,266,0.8680997365207892,0.7493798702867911,0.6917293233082706
104,offset,PDRF,6,237,0.8099189549659879,0.4364727339010752,0.6962025316455697
104,offset,RO-PDRF-Lite,1,230,0.7496971663422021,0.52250999656033,0.5434782608695652
104,offset,RO-PDRF-Lite,2,220,0.8896157296650716,0.7262671538450172,0.5045454545454545
104,offset,RO-PDRF-Lite,3,230,0.8672543081692985,0.6237739714528796,0.4782608695652174
104,offset,RO-PDRF-Lite,4,253,0.7123779230802643,0.30759302321844684,0.043478260869565216
104,offset,RO-PDRF-Lite,5,266,0.8724567829830989,0.7419746629544071,0.6654135338345865
104,offset,RO-PDRF-Lite,6,237,0.8164046691511562,0.45545933786824616,0.8016877637130801
104,offset,Lite-CF,1,230,0.7465390439108803,0.5212148461207183,0.5956521739130435
104,offset,Lite-CF,2,220,0.8941350179425838,0.7347131588109819,0.4818181818181818
104,offset,Lite-CF,3,230,0.8636563559016512,0.6141941192830898,0.5
104,offset,Lite-CF,4,253,0.7286158657396117,0.3201774037915897,0.03557312252964427
104,offset,Lite-CF,5,266,0.8726335068440332,0.7435137451302691,0.6842105263157895
104,offset,Lite-CF,6,237,0.8062238926250075,0.4450920794335403,0.6962025316455697
104,stuck_at,PDRF,1,230,0.7447454755209459,0.5514331732610085,0.6695652173913044
104,stuck_at,PDRF,2,220,0.8947779605263158,0.7475276208111277,0.5045454545454545
104,stuck_at,PDRF,3,230,0.8594130795298869,0.6195178340065528,0.5478260869565217
104,stuck_at,PDRF,4,253,0.752344645321234,0.3418640126997162,0.03557312252964427
104,stuck_at,PDRF,5,266,0.8604556262451,0.7435070154681153,0.6917293233082706
104,stuck_at,PDRF,6,237,0.7533968180234583,0.36515126020833466,0.47257383966244726
104,stuck_at,RO-PDRF-Lite,1,230,0.7533906554185594,0.5073309750012962,0.6260869565217392
104,stuck_at,RO-PDRF-Lite,2,220,0.8918697667464115,0.7422579171136162,0.5363636363636364
104,stuck_at,RO-PDRF-Lite,3,230,0.8672146513807772,0.6509620662701636,0.508695652173913
104,stuck_at,RO-PDRF-Lite,4,253,0.7366446262767332,0.33259347821859997,0.039525691699604744
104,stuck_at,RO-PDRF-Lite,5,266,0.8620975515712358,0.7366458132709961,0.650375939849624
104,stuck_at,RO-PDRF-Lite,6,237,0.7650556194859991,0.38839467405411526,0.5864978902953587
104,stuck_at,Lite-CF,1,230,0.7453331170235777,0.5035658226636429,0.6695652173913044
104,stuck_at,Lite-CF,2,220,0.8927706339712919,0.7470153097006003,0.5045454545454545
104,stuck_at,Lite-CF,3,230,0.8642331819165043,0.63951153299541,0.5478260869565217
104,stuck_at,Lite-CF,4,253,0.7458127157123812,0.33638097564141134,0.03557312252964427
104,stuck_at,Lite-CF,5,266,0.8649122807017544,0.7430828817068444,0.6917293233082706
104,stuck_at,Lite-CF,6,237,0.7615541080295464,0.3766990653878346,0.47257383966244726
105,drift,PDRF,1,230,0.7468238517557142,0.529257556705682,0.5434782608695652
105,drift,PDRF,2,220,0.9162417763157894,0.7616447867833727,0.5227272727272727
105,drift,PDRF,3,230,0.9231595644963588,0.8237398663409805,0.5739130434782609
105,drift,PDRF,4,253,0.7595247561802745,0.32540107101626414,0.07509881422924901
105,drift,PDRF,5,266,0.880194074930917,0.7720769124083185,0.6616541353383458
105,drift,PDRF,6,237,0.839250711739389,0.48908798526910974,0.810126582278481
105,drift,RO-PDRF-Lite,1,230,0.750302833657798,0.5332732067080376,0.5565217391304348
105,drift,RO-PDRF-Lite,2,220,0.9163651315789473,0.7617266442400279,0.5545454545454546
105,drift,RO-PDRF-Lite,3,230,0.9272225827384816,0.8294331209785011,0.591304347826087
105,drift,RO-PDRF-Lite,4,253,0.7585090494789491,0.3229733541920338,0.06719367588932806
105,drift,RO-PDRF-Lite,5,266,0.8773986247670457,0.770411783367014,0.6654135338345865
105,drift,RO-PDRF-Lite,6,237,0.8341268919598963,0.4856509213954428,0.7721518987341772
105,drift,Lite-CF,1,230,0.7509121061359869,0.5316650382927475,0.5434782608695652
105,drift,Lite-CF,2,220,0.916813696172249,0.7597572138059263,0.5227272727272727
105,drift,Lite-CF,3,230,0.928008508183719,0.8296868115330494,0.5782608695652174
105,drift,Lite-CF,4,253,0.7606807907811253,0.32133093265516144,0.07509881422924901
105,drift,Lite-CF,5,266,0.8791690765374975,0.7735594834256087,0.6616541353383458
105,drift,Lite-CF,6,237,0.8390430844268958,0.4887386742185968,0.810126582278481
105,gaussian,PDRF,1,230,0.762062874035619,0.502753554677301,0.6347826086956522
105,gaussian,PDRF,2,220,0.8331900418660287,0.618495746487895,0.44545454545454544
105,gaussian,PDRF,3,230,0.9011716778426707,0.7297014151983747,0.7
105,gaussian,PDRF,4,253,0.7000557970457636,0.2871771565567637,0.15810276679841898
