method,selection_fraction,negative_transfer_prevention,recovery_retention,utility_ratio1_per_10000
Two-stage,0.45,0.5837200010646508,0.534150499586526,75.38300835654596
Two-stage,0.47500000000000003,0.5797912908859406,0.5395763855966063,76.07938718662953
Two-stage,0.5,0.5753682139628636,0.543887336494869,76.94986072423399
Two-stage,0.525,0.5753682139628636,0.5480868536865426,78.16852367688023
Two-stage,0.55,0.570571448228598,0.5485868536865427,77.82033426183844
Two-stage,0.5750000000000001,0.5690089482285979,0.5508870859745799,78.16852367688023
Two-stage,0.6000000000000001,0.5665089482285979,0.5522037754410641,78.51671309192201
Two-stage,0.625,0.5665089482285979,0.5522037754410641,78.51671309192201
Two-stage,0.65,0.5665089482285979,0.5522037754410641,78.51671309192201
Two-stage,0.675,0.564946448228598,0.5532953748715339,78.86490250696379
Two-stage,0.7000000000000001,0.564946448228598,0.554545374871534,79.21309192200557
Two-stage,0.7250000000000001,0.564946448228598,0.5560388813650404,79.56128133704735
Two-stage,0.75,0.564020522302672,0.5569317385078977,79.56128133704735
Two-stage,0.775,0.564020522302672,0.5601276710475802,80.43175487465182
Two-stage,0.8,0.562456494932193,0.5623151710475802,80.43175487465182
Two-stage,0.8250000000000001,0.5605625555382536,0.5653831218294014,80.95403899721448
Two-stage,0.8500000000000001,0.5534366594809059,0.5710680460898032,81.47632311977716
Two-stage,0.875,0.5430078926458891,0.5878746713039915,84.95821727019498
Two-stage,0.9,0.5140590903654336,0.6273530290206583,92.79247910863509
Two-stage,0.925,0.46022476957035574,0.6928912821370222,102.8899721448468
Two-stage,0.9500000000000001,0.3635269052656632,0.7718470526512489,111.76880222841226
Two-stage,0.9750000000000001,0.19058769521754332,0.8707078729513729,120.64763231197772
Two-stage,1.0,0.0,1.0,132.13788300835654
