mixture,test_mechanism,seed,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
uniform,stuck_at,102,0.75,Conditional Lite-CF,2.0,1436,16,2,0.125,2,0,1.0,0.7221448467966574,0.5153203342618384,13.927576601671309,1.0,13.927576601671309,0.5153203342618384,0.8265432590975651,0.5872919639289902,1.9565677888656114,0.7171818576911881,0.26723742915793375,0.263579705171186,0.10935875663541238
gaussian_70pct,gaussian,102,0.8,Conditional Lite-CF,2.0,1436,37,0,0.0,16,0,1.0,0.692200557103064,0.4714484679665738,0.0,1.0,0.0,0.4714484679665738,0.7954609130328021,0.5163470892273422,2.6223371890607146,0.807612938186429,0.33519469628554155,0.33416868596453625,0.12131056677484153
gaussian_70pct,offset,102,0.8,Conditional Lite-CF,2.0,1436,10,0,0.0,3,0,1.0,0.8064066852367688,0.5111420612813371,0.0,1.0,0.0,0.5111420612813371,0.8306441463762022,0.5903048921517072,2.2181235940871407,0.7891042187344702,0.331301741929086,0.3313017419290861,0.12887342314664282
gaussian_70pct,drift,102,0.8,Conditional Lite-CF,2.0,1436,5,1,0.2,6,0,1.0,0.7945682451253482,0.5376044568245125,6.963788300835654,1.0,6.963788300835654,0.5376044568245125,0.8408766902833746,0.6091255502475076,2.0667528321917334,0.7433021676159406,0.3031424306046139,0.2978019798196495,0.12142192746424736
gaussian_70pct,stuck_at,102,0.8,Conditional Lite-CF,2.0,1436,16,0,0.0,2,1,0.5,0.6483286908077994,0.5132311977715878,-6.963788300835654,1.0,-6.963788300835654,0.5132311977715878,0.8258529585564839,0.5865904082996707,1.9649306422499977,0.7188486316476275,0.2686920043045578,0.26503428031781007,0.10996578176896067
offset_70pct,gaussian,102,0.575,Conditional Lite-CF,2.0,1436,37,8,0.21621621621621623,16,4,0.75,0.7785515320334262,0.4742339832869081,27.855153203342617,1.0,27.855153203342617,0.4742339832869081,0.7955399001256861,0.5164867003134388,2.605723182531589,0.8083279606222431,0.3368918241647552,0.33586581384374986,0.12147950344946462
offset_70pct,offset,102,0.575,Conditional Lite-CF,2.0,1436,10,3,0.3,3,1,0.6666666666666667,0.8976323119777159,0.5125348189415042,13.927576601671309,1.0,13.927576601671309,0.5125348189415042,0.8316174579651889,0.5917480046754612,2.202421381915301,0.7852526442862373,0.3298779095148011,0.3298779095148012,0.12837207072866344
offset_70pct,drift,102,0.575,Conditional Lite-CF,2.0,1436,5,4,0.8,6,1,0.8333333333333334,0.8795264623955432,0.5389972144846796,20.891364902506965,1.0,20.891364902506965,0.5389972144846796,0.8417295765447679,0.6101249091359066,2.0507906140550887,0.7386604017665673,0.3013516523387972,0.2960112015538328,0.12000194611953559
offset_70pct,stuck_at,102,0.575,Conditional Lite-CF,2.0,1436,16,9,0.5625,2,1,0.5,0.7945682451253482,0.5194986072423399,55.710306406685234,1.0,55.710306406685234,0.5194986072423399,0.8274585541335785,0.5885835006202579,1.943521475717832,0.7141940191923555,0.2633987065142747,0.259740982527527,0.10877393433577913
drift_70pct,gaussian,102,0.675,Conditional Lite-CF,2.0,1436,37,9,0.24324324324324326,16,3,0.8125,0.7569637883008357,0.4756267409470752,41.78272980501393,1.0,41.78272980501393,0.4756267409470752,0.7952402632093296,0.5161111095904243,2.6195177064106527,0.8113765683478064,0.33838407317762076,0.33735806285661535,0.1223794002610562
