seed,fault_type,view,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
102,stuck_at,B8-9_pooled,Prospective gate Lite-CF,2.0,256,8,0,0.0,0,0,1.0,0.609375,0.53515625,0.0,1.0,0.0,0.53515625,0.8714525000658608,0.7233910543725868,1.2155081014226026,0.611257708302285,0.21974284901710397,0.2186874920498674,0.1018673212534177
102,stuck_at,B8-9_pooled,All-row multinomial (utility 1:1),2.0,256,8,4,0.5,0,0,1.0,0.05859375,0.55078125,156.25,1.0,156.25,0.55078125,0.8707732104539542,0.721782551396357,1.2240218122342275,0.611417053250749,0.20864264418131545,0.1979321139982391,0.1021655841636036
102,stuck_at,B10,Always PDRF,1.0,1180,8,0,0.0,2,0,1.0,0.0,0.5093220338983051,0.0,1.0,0.0,0.5093220338983051,0.8066975115459735,0.5651003466928585,2.231616433738127,0.7511192021404671,0.2852829631479433,0.284022057613817,0.12017417194829627
102,stuck_at,B10,Always RO-PDRF-Lite,1.0,1180,8,8,1.0,2,2,0.0,1.0,0.514406779661017,50.847457627118644,1.0,50.847457627118644,0.514406779661017,0.8139940850880901,0.5707273008202217,2.0676007876587135,0.7304218812231739,0.2727534690458954,0.27275346904589537,0.11643467050000911
102,stuck_at,B10,Frozen Lite-CF (ungated),2.0,1180,8,1,0.125,2,0,1.0,0.7389830508474576,0.5101694915254237,8.474576271186441,1.0,8.474576271186441,0.5101694915254237,0.8113179049896506,0.5684121841276834,2.116620280484477,0.7401655751633517,0.2814790635922416,0.2802181580581154,0.1181146324810542
102,stuck_at,B10,Prospective gate Lite-CF,2.0,1180,8,1,0.125,2,0,1.0,0.7389830508474576,0.5101694915254237,8.474576271186441,1.0,8.474576271186441,0.5101694915254237,0.8113179049896506,0.5684121841276834,2.116620280484477,0.7401655751633517,0.2814790635922416,0.2802181580581154,0.1181146324810542
102,stuck_at,B10,All-row multinomial (utility 1:1),2.0,1180,8,4,0.5,2,0,1.0,0.03474576271186441,0.5127118644067796,33.898305084745765,1.0,33.898305084745765,0.5127118644067796,0.8070581935807338,0.5656104957365429,2.2265309727808527,0.7495226250957453,0.2832240413097131,0.28196313577558685,0.12000669754122943
103,drift,B8-9_pooled,Always PDRF,1.0,256,11,0,0.0,3,0,1.0,0.0,0.57421875,0.0,1.0,0.0,0.57421875,0.8780681053870275,0.7054095883073631,1.6327845562455368,0.6906163509017931,0.26763324602562844,0.267108106934952,0.11897765369720094
103,drift,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,11,11,1.0,3,3,0.0,1.0,0.60546875,312.5,1.0,312.5,0.60546875,0.8926250995707359,0.7382022039119445,1.401116677874862,0.626584259893049,0.24039373840808337,0.2342909933483561,0.1098631984352766
103,drift,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,11,0,0.0,3,0,1.0,0.39453125,0.57421875,0.0,1.0,0.0,0.57421875,0.8884016477447596,0.7214639034498159,1.4961390138362103,0.6815797833977512,0.26537130717993196,0.26484616808925565,0.1177950635090534
103,drift,B8-9_pooled,Prospective gate Lite-CF,1.0,256,11,0,0.0,3,0,1.0,0.0,0.57421875,0.0,1.0,0.0,0.57421875,0.8780681053870275,0.7054095883073631,1.6327845562455368,0.6906163509017931,0.26763324602562844,0.267108106934952,0.11897765369720094
