seed,fault_type,prevalence,stream,variant,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy,no_fault_recovery_selection_rate,harmful_switch_rate
102,stuck_at,0.7,full_mixed_stream,Safe-CF,4364,50,2,0.04,32,5,0.15625,0.84375,0.4857928505957837,0.5453712190650779,,
102,none,0.0,clean_no_imposed_fault,Balanced-CF,4364,47,9,0.19148936170212766,47,11,0.23404255319148937,0.7659574468085106,0.729147571035747,0.5808890925756187,0.729147571035747,0.0025206232813932174
102,none,0.0,clean_no_imposed_fault,Safe-CF,4364,47,1,0.02127659574468085,47,5,0.10638297872340426,0.8936170212765957,0.500916590284143,0.5804307974335472,0.500916590284143,0.001145737855178735
103,gaussian,0.1,full_mixed_stream,Balanced-CF,4364,58,27,0.46551724137931033,71,17,0.23943661971830985,0.7605633802816901,0.8856553620531622,0.5717231897341888,,
103,gaussian,0.1,full_mixed_stream,Safe-CF,4364,58,11,0.1896551724137931,71,2,0.028169014084507043,0.971830985915493,0.7568744271310724,0.571494042163153,,
103,offset,0.1,full_mixed_stream,Balanced-CF,4364,51,27,0.5294117647058824,68,15,0.22058823529411764,0.7794117647058824,0.8934463794683777,0.5726397800183318,,
103,offset,0.1,full_mixed_stream,Safe-CF,4364,51,10,0.19607843137254902,68,2,0.029411764705882353,0.9705882352941176,0.7678735105407882,0.5717231897341888,,
103,drift,0.1,full_mixed_stream,Balanced-CF,4364,49,21,0.42857142857142855,67,15,0.22388059701492538,0.7761194029850746,0.8932172318973419,0.574243813015582,,
103,drift,0.1,full_mixed_stream,Safe-CF,4364,49,8,0.16326530612244897,67,2,0.029850746268656716,0.9701492537313433,0.769019248395967,0.574243813015582,,
103,stuck_at,0.1,full_mixed_stream,Balanced-CF,4364,51,23,0.45098039215686275,69,17,0.2463768115942029,0.7536231884057971,0.8916131989000916,0.5735563703024747,,
103,stuck_at,0.1,full_mixed_stream,Safe-CF,4364,51,10,0.19607843137254902,69,2,0.028985507246376812,0.9710144927536232,0.7632905591200734,0.5740146654445463,,
103,gaussian,0.4,full_mixed_stream,Balanced-CF,4364,82,42,0.5121951219512195,65,15,0.23076923076923078,0.7692307692307692,0.8971127406049496,0.5456003666361137,,
103,gaussian,0.4,full_mixed_stream,Safe-CF,4364,82,23,0.2804878048780488,65,4,0.06153846153846154,0.9384615384615385,0.7786434463794684,0.5437671860678277,,
103,offset,0.4,full_mixed_stream,Balanced-CF,4364,58,34,0.5862068965517241,53,11,0.20754716981132076,0.7924528301886793,0.9161319890009166,0.5492667277726856,,
103,offset,0.4,full_mixed_stream,Safe-CF,4364,58,16,0.27586206896551724,53,2,0.03773584905660377,0.9622641509433962,0.8134738771769019,0.5472043996333639,,
