seed,calibration_group,test_group,fault_type,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,1,4,stuck_at,0.7,Conditional Lite-CF,2.0,1393,40,0,0.0,11,1,0.9090909090909091,0.8377602297200287,0.3969849246231156,-7.178750897343862,1.0,-7.178750897343862,0.3969849246231156,0.8085146463740595,0.49742712592843735,3.472281416882149,0.9658761444413855,0.44364750240271755,0.4436475024027176,0.1610183733660772
101,1,4,stuck_at,0.4000000000000001,All-row multinomial,2.0,1393,40,1,0.025,11,3,0.7272727272727273,0.07537688442211055,0.3962670495333812,-14.357501794687725,1.0,-14.357501794687725,0.3962670495333812,0.7990045364925523,0.4786361564668495,3.982911843900112,1.0069032637541928,0.46429433599365816,0.4642943359936583,0.16880527570857337
102,1,1,drift,0.775,Conditional Lite-CF,2.0,1436,5,2,0.4,6,0,1.0,0.8328690807799443,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8415057110884901,0.609697677428514,2.0578719327605985,0.7407573780366353,0.30217385257672713,0.29683340179176276,0.12036947397795388
102,1,1,drift,0.5,All-row multinomial,2.0,1436,5,3,0.6,6,0,1.0,0.034122562674094706,0.5389972144846796,20.891364902506965,1.0,20.891364902506965,0.5389972144846796,0.8349353929551877,0.6034020946076118,2.265046748570817,0.7670156668277488,0.3175911449191239,0.3122506941341595,0.1265195327669013
102,1,1,gaussian,0.775,Conditional Lite-CF,2.0,1436,37,2,0.05405405405405406,16,0,1.0,0.7249303621169917,0.47284122562674097,13.927576601671309,1.0,13.927576601671309,0.47284122562674097,0.795527533651283,0.5166476602876645,2.6160041771043105,0.8062952117379093,0.33512362189507366,0.33409761157406825,0.1209336655608682
102,1,1,gaussian,0.5,All-row multinomial,2.0,1436,37,7,0.1891891891891892,16,3,0.8125,0.06615598885793872,0.4742339832869081,27.855153203342617,1.0,27.855153203342617,0.4742339832869081,0.7873606337396649,0.5045339387129593,2.9483699354972623,0.8291795897038611,0.34664413114380166,0.34561812082279636,0.12577677853976355
102,1,1,offset,0.775,Conditional Lite-CF,2.0,1436,10,1,0.1,3,0,1.0,0.8467966573816156,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.831162542120846,0.5907857539124874,2.209193618842175,0.7873217173048184,0.33069480329198103,0.33069480329198103,0.12855876495465077
102,1,1,offset,0.5,All-row multinomial,2.0,1436,10,3,0.3,3,0,1.0,0.034818941504178275,0.5132311977715878,20.891364902506965,1.0,20.891364902506965,0.5132311977715878,0.8249901500954401,0.5845217146515632,2.424604964384298,0.8102387366661604,0.34469412545395817,0.3427575178698114,0.13435039718440422
102,1,1,stuck_at,0.775,Conditional Lite-CF,2.0,1436,16,1,0.0625,2,0,1.0,0.7158774373259053,0.5146239554317549,6.963788300835654,1.0,6.963788300835654,0.5146239554317549,0.8266953214060736,0.5874255100895556,1.955976327732502,0.7171847866366877,0.2677689118745112,0.26411118788776344,0.10938039635780113
102,1,1,stuck_at,0.5,All-row multinomial,2.0,1436,16,9,0.5625,2,0,1.0,0.04665738161559889,0.5201949860724234,62.674094707520894,1.0,62.674094707520894,0.5201949860724234,0.8232645526402366,0.58512991153745,2.046693149983153,0.7244532096617486,0.26658705150693396,0.2629293275201862,0.1116197922959485
102,1,2,drift,0.775,Conditional Lite-CF,2.0,1397,30,5,0.16666666666666666,16,1,0.9375,0.870436649964209,0.44452397995705084,28.63278453829635,1.0,28.63278453829635,0.44452397995705084,0.8091321389530995,0.5285581264828756,3.2688103909198496,0.9178977679017225,0.41453449034447504,0.41453449034447504,0.1529886221628993
102,1,2,drift,0.5,All-row multinomial,2.0,1397,30,9,0.3,16,7,0.5625,0.07229778095919828,0.443092340730136,14.316392269148174,1.0,14.316392269148174,0.443092340730136,0.7958482763989085,0.5125983697162811,3.769347626644403,0.9563067407998568,0.4360319576182614,0.43603195761826136,0.15885855216207348
102,1,2,gaussian,0.775,Conditional Lite-CF,2.0,1397,40,9,0.225,20,6,0.7,0.7695060844667144,0.4824624194702935,21.47458840372226,1.0,21.47458840372226,0.4824624194702935,0.8041792189762748,0.5109663381749144,2.6458674761666368,0.8067727610529242,0.34542233747051754,0.3452594783326796,0.12295259287747339
102,1,2,gaussian,0.5,All-row multinomial,2.0,1397,40,12,0.3,20,6,0.7,0.08088761632068718,0.4846098783106657,42.94917680744452,1.0,42.94917680744452,0.4846098783106657,0.7980564689460939,0.5004050398777232,2.933755048880474,0.8205242220397317,0.35246503512555993,0.35230217598772173,0.12622227984972667
102,1,2,offset,0.775,Conditional Lite-CF,2.0,1397,35,13,0.37142857142857144,6,1,0.8333333333333334,0.9126700071581961,0.39012168933428776,85.89835361488905,1.0,85.89835361488905,0.39012168933428776,0.8026200336588786,0.50552199417518,4.208471646024819,1.053183502636141,0.4973501335184387,0.49735013351843865,0.1807663055084474
102,1,2,offset,0.5,All-row multinomial,2.0,1397,35,23,0.6571428571428571,6,3,0.5,0.08589835361488905,0.39584824624194703,143.16392269148176,1.0,143.16392269148176,0.39584824624194703,0.789308605839,0.48866185209470525,4.9323171229408125,1.09320582053173,0.5107510065535124,0.510751006553512,0.18714081891245607
