held_out_building,seed,method,metric,value
auditorium,104,CAGF,macro_f1,0.9625229863934754
auditorium,104,CAGF,macro_auroc,0.9995157758372772
auditorium,104,CAGF,macro_auprc,0.9952499048389384
auditorium,104,CAGF,nll,0.013728814764814716
auditorium,104,CAGF,class_1_precision,0.9993663287086446
auditorium,104,CAGF,class_1_recall,0.9952008502299938
auditorium,104,CAGF,class_1_f1,0.9972792398512318
auditorium,104,CAGF,class_1_auroc,0.9995157758372772
auditorium,104,CAGF,class_1_auprc,0.9999826421453624
auditorium,104,CAGF,class_2_precision,0.8790288823775638
auditorium,104,CAGF,class_2_recall,0.9822263797942001
auditorium,104,CAGF,class_2_f1,0.927766732935719
auditorium,104,CAGF,class_2_auroc,0.9995157758372772
auditorium,104,CAGF,class_2_auprc,0.9905171675325144
auditorium,104,CAGF,balanced_accuracy,0.988713615012097
auditorium,104,CAGF,native_sensor_fault_recall,0.9822263797942001
auditorium,104,CAGF,mean_temperature_group_weight_on_faults,0.12897193431854248
auditorium,104,CAGF,train_seconds,26.73662300000433
auditorium,104,CAGF,inference_seconds,0.0328289000026416
auditorium,104,ENT-PD,accuracy,0.9660823965232452
auditorium,104,ENT-PD,macro_f1,0.8185980983820647
auditorium,104,ENT-PD,macro_auroc,0.9889732166553724
auditorium,104,ENT-PD,macro_auprc,0.9067915403894833
auditorium,104,ENT-PD,nll,0.09943222016869811
auditorium,104,ENT-PD,class_1_precision,0.9977725995476664
auditorium,104,ENT-PD,class_1_recall,0.9670369816835218
auditorium,104,ENT-PD,class_1_f1,0.9821643911859204
auditorium,104,ENT-PD,class_1_auroc,0.9889743758946821
auditorium,104,ENT-PD,class_1_auprc,0.9995739091701036
auditorium,104,ENT-PD,class_2_precision,0.5028800400701228
auditorium,104,ENT-PD,class_2_recall,0.9391955098222639
auditorium,104,ENT-PD,class_2_f1,0.6550318055782091
auditorium,104,ENT-PD,class_2_auroc,0.9889720574160629
auditorium,104,ENT-PD,class_2_auprc,0.8140091716088629
auditorium,104,ENT-PD,balanced_accuracy,0.9531162457528928
auditorium,104,ENT-PD,native_sensor_fault_recall,0.9391955098222639
auditorium,104,ENT-PD,mean_temperature_group_weight_on_faults,0.2808988690376282
auditorium,104,ENT-PD,train_seconds,23.641944999995758
auditorium,104,ENT-PD,inference_seconds,0.03239340000436641
auditorium,104,PDRF-NOQ,accuracy,0.9526757220520551
auditorium,104,PDRF-NOQ,macro_f1,0.7757453360742987
auditorium,104,PDRF-NOQ,macro_auroc,0.9816835567639917
auditorium,104,PDRF-NOQ,macro_auprc,0.7885641187771244
auditorium,104,PDRF-NOQ,nll,0.17300700533316477
auditorium,104,PDRF-NOQ,class_1_precision,0.9977575357229774
auditorium,104,PDRF-NOQ,class_1_recall,0.9531377140105283
auditorium,104,PDRF-NOQ,class_1_f1,0.9749373646439339
