building,seed,method,metric,value
auditorium,103,EF-PD,class_1_precision,0.9956145159521982
auditorium,103,EF-PD,class_1_recall,0.995069033530572
auditorium,103,EF-PD,class_1_f1,0.9953417000054804
auditorium,103,EF-PD,class_1_auroc,0.9962871168168064
auditorium,103,EF-PD,class_1_auprc,0.9999045846242982
auditorium,103,EF-PD,class_2_precision,0.8068669527896996
auditorium,103,EF-PD,class_2_recall,0.8245614035087719
auditorium,103,EF-PD,class_2_f1,0.8156182212581344
auditorium,103,EF-PD,class_2_auroc,0.9962859153142554
auditorium,103,EF-PD,class_2_auprc,0.9156407586040038
auditorium,103,EF-PD,balanced_accuracy,0.909815218519672
auditorium,103,EF-PD,native_sensor_fault_recall,0.8245614035087719
auditorium,103,EF-PD,mean_temperature_group_weight_on_faults,0.0
auditorium,103,EF-PD,train_seconds,3.1040037000057055
auditorium,103,EF-PD,inference_seconds,0.003305800011730753
auditorium,103,EF-PD,recall_return_air_temperature_fault,0.776536312849162
auditorium,103,EF-PD,recall_supply_air_temperature_fault,1.0
auditorium,103,UF-PD,accuracy,0.9700662818045755
auditorium,103,UF-PD,macro_f1,0.7755306541314695
auditorium,103,UF-PD,macro_auroc,0.9807995086335167
auditorium,103,UF-PD,macro_auprc,0.8247943510300512
auditorium,103,UF-PD,nll,0.08523557761247652
auditorium,103,UF-PD,class_1_precision,0.9949641897940913
auditorium,103,UF-PD,class_1_recall,0.9742493973263204
auditorium,103,UF-PD,class_1_f1,0.9844978407706788
auditorium,103,UF-PD,class_1_auroc,0.9807995086335167
auditorium,103,UF-PD,class_1_auprc,0.9995028631711628
auditorium,103,UF-PD,class_2_precision,0.43779904306220097
auditorium,103,UF-PD,class_2_recall,0.8026315789473685
auditorium,103,UF-PD,class_2_f1,0.56656346749226
auditorium,103,UF-PD,class_2_auroc,0.9807995086335167
auditorium,103,UF-PD,class_2_auprc,0.6500858388889396
auditorium,103,UF-PD,balanced_accuracy,0.8884404881368444
auditorium,103,UF-PD,native_sensor_fault_recall,0.8026315789473685
