level,method,seed,pool,subset,metric,value
single_model,PDRF_AUC,108,none,all,macro_f1,0.5532251401073636
single_model,PDRF_AUC,108,none,all,macro_auroc,0.8392386106038341
single_model,PDRF_AUC,108,none,all,macro_auprc,0.5844041055348721
single_model,PDRF_AUC,108,none,all,nll,2.3121732256430643
single_model,PDRF_AUC,108,none,affected,accuracy,0.5048158640226629
single_model,PDRF_AUC,108,none,affected,macro_f1,0.5028410936314704
single_model,PDRF_AUC,108,none,affected,macro_auroc,0.8035533281418209
single_model,PDRF_AUC,108,none,affected,macro_auprc,0.5228595618544792
single_model,PDRF_AUC,108,none,affected,nll,2.81805517898621
single_model,PDRF_AUC,108,none,unaffected,accuracy,0.6171604463255098
single_model,PDRF_AUC,108,none,unaffected,macro_f1,0.5843525342145822
single_model,PDRF_AUC,108,none,unaffected,macro_auroc,0.8652709448281382
single_model,PDRF_AUC,108,none,unaffected,macro_auprc,0.6372940601448822
single_model,PDRF_AUC,108,none,unaffected,nll,1.9686250734111854
single_model,PDRF_AUC,109,none,all,accuracy,0.5737855178735105
single_model,PDRF_AUC,109,none,all,macro_f1,0.5579035677102353
single_model,PDRF_AUC,109,none,all,macro_auroc,0.8400462908315657
single_model,PDRF_AUC,109,none,all,macro_auprc,0.5839563568463999
single_model,PDRF_AUC,109,none,all,nll,2.4863749208178962
single_model,PDRF_AUC,109,none,affected,accuracy,0.49688385269121815
single_model,PDRF_AUC,109,none,affected,macro_f1,0.4939243316329667
single_model,PDRF_AUC,109,none,affected,macro_auroc,0.7996972203363762
single_model,PDRF_AUC,109,none,affected,macro_auprc,0.5151926564394871
single_model,PDRF_AUC,109,none,affected,nll,3.240292744260492
single_model,PDRF_AUC,109,none,unaffected,accuracy,0.6260100038476337
single_model,PDRF_AUC,109,none,unaffected,macro_f1,0.5943562094866489
single_model,PDRF_AUC,109,none,unaffected,macro_auroc,0.8710583442189974
