seed,method,fault_type,subset,metric,value,n,inference_ms_per_observation
101,RO-MER,gaussian,unaffected,ece15,0.16479468799729036,2599,0.002082951422281372
101,RO-MER,gaussian,all,accuracy,0.5419340054995417,4364,0.002082951422281372
101,RO-MER,gaussian,all,macro_f1,0.535757545806255,4364,0.002082951422281372
101,RO-MER,gaussian,all,macro_auroc,0.8313920888182972,4364,0.002082951422281372
101,RO-MER,gaussian,all,macro_auprc,0.5905996794133626,4364,0.002082951422281372
101,RO-MER,gaussian,all,nll,1.556828304253505,4364,0.002082951422281372
101,RO-MER,gaussian,all,brier,0.6514356951909128,4364,0.002082951422281372
101,RO-MER,gaussian,all,ece15,0.21140585339173168,4364,0.002082951422281372
101,RO-MER,offset,fault_applied_available,accuracy,0.5062674094707521,1436,0.0013474106352638
101,RO-MER,offset,fault_applied_available,macro_f1,0.49197644115440325,1436,0.0013474106352638
101,RO-MER,offset,fault_applied_available,macro_auroc,0.8173272558919341,1436,0.0013474106352638
101,RO-MER,offset,fault_applied_available,macro_auprc,0.6002624898784583,1436,0.0013474106352638
101,RO-MER,offset,fault_applied_available,nll,1.7153836508508995,1436,0.0013474106352638
101,RO-MER,offset,fault_applied_available,brier,0.7107816284167157,1436,0.0013474106352638
101,RO-MER,offset,fault_applied_available,ece15,0.2338676703549029,1436,0.0013474106352638
101,RO-MER,offset,assigned,accuracy,0.5138810198300283,1765,0.0013474106352638
101,RO-MER,offset,assigned,macro_f1,0.5030726362397454,1765,0.0013474106352638
101,RO-MER,offset,assigned,macro_auroc,0.8191160196488387,1765,0.0013474106352638
101,RO-MER,offset,assigned,macro_auprc,0.5978699829286994,1765,0.0013474106352638
101,RO-MER,offset,assigned,nll,1.6538209063028675,1765,0.0013474106352638
101,RO-MER,offset,assigned,brier,0.6932250253261363,1765,0.0013474106352638
101,RO-MER,offset,assigned,ece15,0.21904108563158398,1765,0.0013474106352638
101,RO-MER,offset,unaffected,accuracy,0.5929203539823009,2599,0.0013474106352638
101,RO-MER,offset,unaffected,macro_f1,0.5791168441612529,2599,0.0013474106352638
101,RO-MER,offset,unaffected,macro_auroc,0.8547808660363425,2599,0.0013474106352638
101,RO-MER,offset,unaffected,macro_auprc,0.6327819080326358,2599,0.0013474106352638
101,RO-MER,offset,unaffected,nll,1.3530880664493827,2599,0.0013474106352638
101,RO-MER,offset,unaffected,brier,0.577346976103779,2599,0.0013474106352638
101,RO-MER,offset,unaffected,ece15,0.16479468799729036,2599,0.0013474106352638
101,RO-MER,offset,all,accuracy,0.5609532538955087,4364,0.0013474106352638
101,RO-MER,offset,all,macro_f1,0.5510035619226994,4364,0.0013474106352638
101,RO-MER,offset,all,macro_auroc,0.8383739794348289,4364,0.0013474106352638
101,RO-MER,offset,all,macro_auprc,0.6132914414825091,4364,0.0013474106352638
101,RO-MER,offset,all,nll,1.474718099066569,4364,0.0013474106352638
101,RO-MER,offset,all,brier,0.6242133273589258,4364,0.0013474106352638
101,RO-MER,offset,all,ece15,0.18635743849600925,4364,0.0013474106352638
101,RO-MER,drift,fault_applied_available,accuracy,0.5591922005571031,1436,0.001390582039590761
