model,stress_type,level,metric,mean,sd,n,ci95
MD,sensor_noise,1.5,ece,0.03977831791598971,0.007300347850752987,20,0.003199518514520921
MD,sensor_noise,1.5,nll,0.5703632409774059,0.0141137744730039,20,0.0061856343915846455
MD,sensor_noise,2.0,aurc,0.17928773148148147,0.006736632979451564,20,0.0029524595791780455
MD,sensor_noise,2.0,auroc,0.7759244808423907,0.006996285246920889,20,0.0030662572028104258
MD,sensor_noise,2.0,ece,0.04081698400697981,0.008893903056677758,20,0.0038979248767248274
MD,sensor_noise,2.0,nll,0.5735460204570402,0.009290779204375611,20,0.004071863517525354
MD,sensor_noise,3.0,aurc,0.19012851851851853,0.008892665895234242,20,0.0038973826668158057
MD,sensor_noise,3.0,auroc,0.765228888614225,0.009626104596130022,20,0.004218826350152098
MD,sensor_noise,3.0,ece,0.048355772928955654,0.01181179444651276,20,0.005176747162456779
MD,sensor_noise,3.0,nll,0.5898624703026526,0.014051910526511096,20,0.006158521321600639
QWF,missingness,0.5,aurc,0.16041435185185185,0.007310229192026247,20,0.003203849203276914
QWF,missingness,0.5,auroc,0.7944367936832104,0.007827782085285279,20,0.003430676759727576
QWF,missingness,0.5,ece,0.02674034081219385,0.006217718097656733,20,0.002725035104933061
QWF,missingness,0.5,nll,0.5488952655755319,0.008867431171750161,20,0.003886323061623458
QWF,missingness,1.0,aurc,0.1635833664021164,0.006610319610262004,20,0.0028971003043029683
QWF,missingness,1.0,auroc,0.7917849385460983,0.006658648609884307,20,0.0029182814222772145
QWF,missingness,1.0,ece,0.02795949205355719,0.008347990309336717,20,0.0036586680662085334
QWF,missingness,1.0,nll,0.5520290938109633,0.007733163706392309,20,0.0033892084268109753
QWF,missingness,1.5,aurc,0.16944146825396825,0.00709003982422249,20,0.003107346957987861
QWF,missingness,1.5,auroc,0.7860494255145601,0.006728534714828865,20,0.0029489103582196028
QWF,missingness,1.5,ece,0.031103347237563382,0.007710872458527953,20,0.003379438856687488
QWF,missingness,1.5,nll,0.5593861704481263,0.007970239343630595,20,0.0034931114059830576
QWF,missingness,2.0,aurc,0.1705924537037037,0.009876645868326739,20,0.00432863090404912
QWF,missingness,2.0,auroc,0.7840814769874712,0.010840782237586282,20,0.004751182298452979
QWF,missingness,2.0,ece,0.03077274328737209,0.007105129956877812,20,0.0031139605002195917
QWF,missingness,2.0,nll,0.56133590320841,0.012087684940246167,20,0.005297661502530219
