task,test_index,nearest_train_index,same_class,euclidean_distance,cosine_similarity
valve,1285,792,False,24.639366149902344,0.8279458284378052
valve,1286,792,False,24.414865493774414,0.8406178951263428
valve,1287,792,False,24.49283218383789,0.8284430503845215
valve,1288,792,False,24.76120376586914,0.8272072672843933
valve,1289,792,False,24.6668643951416,0.8241767883300781
valve,1290,744,False,24.678531646728516,0.83226478099823
valve,1291,744,False,24.765256881713867,0.8263155817985535
valve,1292,744,False,24.906272888183594,0.8396077156066895
valve,1293,744,False,24.75971031188965,0.8354570269584656
valve,1294,744,False,24.8447208404541,0.8395043611526489
valve,1295,744,False,24.745134353637695,0.8349698185920715
valve,1296,744,False,24.68248176574707,0.8279716968536377
valve,1297,744,False,24.830297470092773,0.8197930455207825
valve,1298,792,False,24.683528900146484,0.8277223110198975
valve,1299,744,False,24.660903930664062,0.837263286113739
valve,1300,792,False,24.523202896118164,0.8242771625518799
valve,1301,744,True,24.78609848022461,0.8428336977958679
valve,1302,744,True,24.640422821044922,0.8386715650558472
valve,1303,744,True,24.665546417236328,0.8329207897186279
valve,1304,744,True,24.697223663330078,0.833951473236084
valve,1305,744,True,24.767297744750977,0.8360255360603333
valve,1306,744,True,24.67521858215332,0.8315069675445557
valve,1307,744,True,24.705034255981445,0.8364547491073608
valve,1308,744,True,24.915246963500977,0.8422124981880188
valve,1309,744,True,24.755401611328125,0.8256129026412964
valve,1310,792,True,24.486696243286133,0.8245553970336914
valve,1311,792,True,24.89198875427246,0.8239690661430359
valve,1312,792,True,24.570772171020508,0.8331725597381592
valve,1313,792,True,24.481647491455078,0.835574746131897
valve,1314,792,True,24.519577026367188,0.8330264091491699
valve,1315,792,True,24.580018997192383,0.8335882425308228
valve,1316,792,True,24.554025650024414,0.8327122926712036
valve,1317,792,True,24.869508743286133,0.8310279846191406
valve,1318,792,True,24.779943466186523,0.8279944658279419
valve,1319,792,True,24.509521484375,0.8340142965316772
valve,1320,792,False,25.830720901489258,0.8308279514312744
valve,1321,792,False,25.87165641784668,0.8370625376701355
valve,1322,744,False,25.78995132446289,0.8191656470298767
valve,1323,792,False,25.84795379638672,0.8358958959579468
valve,1324,792,False,25.799840927124023,0.8269844055175781
valve,1325,792,False,25.680950164794922,0.8334899544715881
valve,1326,792,False,25.48554039001465,0.8230246901512146
valve,1327,792,False,25.56100082397461,0.8257802128791809
valve,1328,792,False,25.6602840423584,0.8238130807876587
valve,1329,792,False,25.77094841003418,0.8180689215660095
valve,1330,744,False,25.78095245361328,0.8552005887031555
valve,1331,744,False,25.46073341369629,0.8487191796302795
valve,1332,744,False,25.59364128112793,0.8271507620811462
valve,1333,744,False,25.572134017944336,0.8398220539093018
valve,1334,744,False,25.4652156829834,0.8353469371795654
valve,1335,744,False,25.718414306640625,0.8361016511917114
valve,1336,744,False,25.754060745239258,0.8555858135223389
valve,1337,744,False,25.87146759033203,0.8568731546401978
valve,1338,744,False,25.621103286743164,0.8463044166564941
valve,1339,792,False,25.629623413085938,0.8273544907569885
valve,1340,744,True,25.674030303955078,0.8526102304458618
valve,1341,744,True,26.063159942626953,0.8595138788223267
valve,1342,744,True,25.884994506835938,0.8573288917541504
valve,1343,744,True,26.375518798828125,0.8617287874221802
valve,1344,744,True,25.835420608520508,0.8457527160644531
valve,1345,744,True,26.023475646972656,0.858700156211853
valve,1346,744,True,25.611745834350586,0.8434706330299377
valve,1347,744,True,25.931495666503906,0.8570101261138916
valve,1348,744,True,25.963180541992188,0.8585424423217773
valve,1349,744,True,25.832901000976562,0.8560114502906799
valve,1350,792,True,25.456384658813477,0.8413665294647217
valve,1351,744,False,25.80591583251953,0.8276816010475159
valve,1352,792,True,25.797155380249023,0.8302353620529175
valve,1353,744,False,25.73161506652832,0.833675742149353
valve,1354,792,True,25.92847442626953,0.8273618817329407
valve,1355,792,True,25.624317169189453,0.8384392261505127
valve,1356,744,False,26.082643508911133,0.8219068050384521
valve,1357,792,True,25.846717834472656,0.8412123918533325
valve,1358,792,True,25.824365615844727,0.8219959139823914
valve,1359,792,True,25.779781341552734,0.8264989852905273
valve,1360,792,False,25.14181900024414,0.8286473751068115
valve,1361,792,False,24.963397979736328,0.8268771767616272
valve,1362,792,False,24.964557647705078,0.8451191782951355
valve,1363,792,False,25.169574737548828,0.8358942270278931
valve,1364,792,False,25.185089111328125,0.8253754377365112
valve,1365,792,False,25.178804397583008,0.8390845656394958
valve,1366,792,False,25.244173049926758,0.8345286250114441
valve,1367,792,False,25.263715744018555,0.8248229622840881
valve,1368,792,False,25.42024803161621,0.8305521011352539
valve,1369,792,False,24.904966354370117,0.8286155462265015
valve,1370,744,False,25.08357810974121,0.8415994644165039
valve,1371,792,False,25.01080894470215,0.8365923762321472
valve,1372,744,False,25.19576072692871,0.8440935015678406
valve,1373,792,False,25.1446475982666,0.8284775018692017
valve,1374,744,False,25.45176887512207,0.8482202291488647
valve,1375,744,False,25.379060745239258,0.8509562015533447
valve,1376,744,False,25.397876739501953,0.8471162915229797
valve,1377,744,False,25.278963088989258,0.8279038071632385
valve,1378,744,False,25.431995391845703,0.8317777514457703
valve,1379,744,False,25.291790008544922,0.84382563829422
valve,1380,744,True,25.565595626831055,0.8527286052703857
valve,1381,744,True,25.432186126708984,0.8448065519332886
valve,1382,744,True,25.38532257080078,0.8304061889648438
valve,1383,792,False,25.583251953125,0.8363149762153625
valve,1384,744,True,25.427804946899414,0.8287092447280884
valve,1385,744,True,25.285127639770508,0.8392086625099182
valve,1386,744,True,25.5886287689209,0.8430665731430054
valve,1387,744,True,25.4345760345459,0.8342392444610596
valve,1388,744,True,25.384822845458984,0.8316482305526733
valve,1389,744,True,25.594833374023438,0.8328849077224731
valve,1390,792,True,25.427995681762695,0.8345346450805664
valve,1391,792,True,25.164621353149414,0.8294342756271362
valve,1392,792,True,25.610567092895508,0.8266794681549072
valve,1393,792,True,25.619953155517578,0.8327732086181641
valve,1394,792,True,25.581573486328125,0.8355571031570435
valve,1395,792,True,25.4078311920166,0.831167995929718
valve,1396,792,True,25.56958770751953,0.8306300044059753
valve,1397,792,True,25.22915267944336,0.8413218259811401
valve,1398,792,True,25.2012996673584,0.8272511959075928
valve,1399,792,True,25.114093780517578,0.8366679549217224
valve,1400,792,False,25.10505485534668,0.8298906087875366
valve,1401,792,False,24.995155334472656,0.8399297595024109
valve,1402,792,False,24.91411781311035,0.8340707421302795
valve,1403,792,False,24.917020797729492,0.8369714617729187
valve,1404,792,False,24.888399124145508,0.83283531665802
valve,1405,792,False,25.031166076660156,0.8443755507469177
valve,1406,792,False,24.91374397277832,0.8366895914077759
valve,1407,792,False,25.15709114074707,0.8230080008506775
valve,1408,792,False,25.02115821838379,0.8332171440124512
valve,1409,792,False,25.023942947387695,0.8365563154220581
valve,1410,792,False,25.17947006225586,0.8287445306777954
valve,1411,744,False,25.309537887573242,0.8201602697372437
valve,1412,744,False,25.49530029296875,0.8461356163024902
valve,1413,792,False,25.19883918762207,0.831994891166687
valve,1414,792,False,25.705001831054688,0.8145751357078552
valve,1415,792,False,25.397171020507812,0.8453196287155151
valve,1416,792,False,25.526531219482422,0.8304609060287476
