seed,method,subset,metric,value,n
105,RO-CAGF,fault_applied_available,brier,0.7982484576120576,1436
105,RO-CAGF,fault_applied_available,ece15,0.29473311085686554,1436
105,RO-PDRF,fault_applied_available,accuracy,0.46309192200557103,1436
105,RO-PDRF,fault_applied_available,macro_f1,0.4430007748515384,1436
105,RO-PDRF,fault_applied_available,macro_auroc,0.7973469463846401,1436
105,RO-PDRF,fault_applied_available,macro_auprc,0.5054786100798121,1436
105,RO-PDRF,fault_applied_available,nll,2.7084253668350384,1436
105,RO-PDRF,fault_applied_available,brier,0.8490223864517263,1436
105,RO-PDRF,fault_applied_available,ece15,0.3524132997462551,1436
106,CAGF,fault_applied_available,accuracy,0.5299442896935933,1436
106,CAGF,fault_applied_available,macro_f1,0.503189688624703,1436
106,CAGF,fault_applied_available,macro_auroc,0.8307161019959389,1436
106,CAGF,fault_applied_available,macro_auprc,0.5598935966478629,1436
106,CAGF,fault_applied_available,nll,1.6823210614281046,1436
106,CAGF,fault_applied_available,brier,0.6638314049866983,1436
106,CAGF,fault_applied_available,ece15,0.1986679345686644,1436
106,PDRF,fault_applied_available,accuracy,0.45891364902506965,1436
106,PDRF,fault_applied_available,macro_f1,0.4512638908897551,1436
106,PDRF,fault_applied_available,macro_auroc,0.7881555790038175,1436
106,PDRF,fault_applied_available,macro_auprc,0.5042131715844421,1436
106,PDRF,fault_applied_available,nll,4.101541522243061,1436
106,PDRF,fault_applied_available,brier,0.9053232451242272,1436
106,PDRF,fault_applied_available,ece15,0.41101199961126733,1436
106,RO-CAGF,fault_applied_available,accuracy,0.49164345403899723,1436
106,RO-CAGF,fault_applied_available,macro_f1,0.4875800475918475,1436
106,RO-CAGF,fault_applied_available,macro_auroc,0.8002305905149187,1436
106,RO-CAGF,fault_applied_available,macro_auprc,0.5312897684695453,1436
106,RO-CAGF,fault_applied_available,nll,2.677401478893197,1436
106,RO-CAGF,fault_applied_available,brier,0.8110555327830747,1436
106,RO-CAGF,fault_applied_available,ece15,0.33013480617863245,1436
106,RO-PDRF,fault_applied_available,accuracy,0.46935933147632314,1436
106,RO-PDRF,fault_applied_available,macro_f1,0.4589612489571444,1436
106,RO-PDRF,fault_applied_available,macro_auroc,0.7991562047146825,1436
106,RO-PDRF,fault_applied_available,macro_auprc,0.5199755973950237,1436
106,RO-PDRF,fault_applied_available,nll,3.3256600595967973,1436
106,RO-PDRF,fault_applied_available,brier,0.8575346958191641,1436
106,RO-PDRF,fault_applied_available,ece15,0.3836159200721719,1436
107,CAGF,fault_applied_available,accuracy,0.42896935933147634,1436
107,CAGF,fault_applied_available,macro_f1,0.42312033110125236,1436
