model,regime,metric,mean,sd,n,ci95
CRF_NR,silent_failure,aurc,0.17926689153439151,0.008679800421157608,20,0.003804090259476584
CRF_NR,silent_failure,auroc,0.774512358466745,0.008693996826048067,20,0.0038103121082453347
CRF_NR,silent_failure,brier,0.19428516762109163,0.004001114609589163,20,0.0017535657935505442
CRF_NR,silent_failure,coverage_80_risk,0.25525,0.008953257435897312,20,0.003923938080357484
CRF_NR,silent_failure,ece,0.03440222307632988,0.006391504995274403,20,0.002801200571000755
CRF_NR,silent_failure,mean_uncertainty,0.2720248863101006,0.008061417096049139,20,0.0035330718178619856
CRF_NR,silent_failure,nll,0.572203870515984,0.01060547562481154,20,0.004648054628435949
EF,ID_missing,auprc,0.7786750374160217,0.0093364231090127,20,0.0040918678407366555
EF,ID_missing,aurc,0.17176570105820105,0.006539998396258581,20,0.002866280673407663
EF,ID_missing,auroc,0.7845096258931336,0.0073106378743030736,20,0.003204028316181942
EF,ID_missing,brier,0.18966502734967383,0.0032231281532897377,20,0.0014125981955860462
EF,ID_missing,coverage_80_risk,0.24441666666666667,0.008658565714592587,20,0.0037947837389937004
EF,ID_missing,ece,0.027988898689113556,0.0064554466336418335,20,0.0028292242295972826
EF,ID_missing,mean_uncertainty,0.2813529148697853,0.00796398277984763,20,0.0034903693460059007
EF,ID_missing,nll,0.5606233290065996,0.00762345480818283,20,0.0033411263822009075
EF,noise_shift,auprc,0.7664999244906036,0.009692663796924782,20,0.004247997206063106
