seed,variant,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
101,minus_recovery,affected,macro_auprc,0.5248502741368217,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,affected,nll,2.7373931499717328,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,affected,brier,0.8170472335443875,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,affected,ece15,0.3491235195070759,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,unaffected,accuracy,0.6006156213928434,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,unaffected,macro_f1,0.567336405391831,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,unaffected,macro_auroc,0.8720533601618649,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,unaffected,macro_auprc,0.6647848454623396,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,unaffected,nll,1.6274828127161793,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,unaffected,brier,0.580437280084101,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,unaffected,ece15,0.20305625139726682,19740,17.538191800005734,0.002451031160697522
101,minus_brier,all,accuracy,0.5497250229147571,19740,26.58998300001258,0.002400458293489337
101,minus_brier,all,macro_f1,0.5297773395814283,19740,26.58998300001258,0.002400458293489337
101,minus_brier,all,macro_auroc,0.8418024978514445,19740,26.58998300001258,0.002400458293489337
101,minus_brier,all,macro_auprc,0.5880304009069248,19740,26.58998300001258,0.002400458293489337
101,minus_brier,all,nll,1.8838239965217134,19740,26.58998300001258,0.002400458293489337
101,minus_brier,all,brier,0.6902260991168951,19740,26.58998300001258,0.002400458293489337
101,minus_brier,all,ece15,0.256543737796061,19740,26.58998300001258,0.002400458293489337
101,minus_brier,affected,accuracy,0.4878186968838527,19740,26.58998300001258,0.002400458293489337
101,minus_brier,affected,macro_f1,0.47260336719752377,19740,26.58998300001258,0.002400458293489337
101,minus_brier,affected,macro_auroc,0.8085132329777839,19740,26.58998300001258,0.002400458293489337
101,minus_brier,affected,macro_auprc,0.5230906154145719,19740,26.58998300001258,0.002400458293489337
101,minus_brier,affected,nll,2.2427517537049404,19740,26.58998300001258,0.002400458293489337
101,minus_brier,affected,brier,0.786487586562212,19740,26.58998300001258,0.002400458293489337
101,minus_brier,affected,ece15,0.3149649443606142,19740,26.58998300001258,0.002400458293489337
101,minus_brier,unaffected,accuracy,0.5917660638707195,19740,26.58998300001258,0.002400458293489337
101,minus_brier,unaffected,macro_f1,0.5651359845717171,19740,26.58998300001258,0.002400458293489337
101,minus_brier,unaffected,macro_auroc,0.8652824548850303,19740,26.58998300001258,0.002400458293489337
101,minus_brier,unaffected,macro_auprc,0.639930534927338,19740,26.58998300001258,0.002400458293489337
101,minus_brier,unaffected,nll,1.6400735188655395,19740,26.58998300001258,0.002400458293489337
101,minus_brier,unaffected,brier,0.6248542155689982,19740,26.58998300001258,0.002400458293489337
101,minus_brier,unaffected,ece15,0.2169111938993029,19740,26.58998300001258,0.002400458293489337
101,minus_interior,all,accuracy,0.5439963336388635,19740,27.052094599988777,0.002990329974138039
101,minus_interior,all,macro_f1,0.5242553430268425,19740,27.052094599988777,0.002990329974138039
101,minus_interior,all,macro_auroc,0.8400319682936545,19740,27.052094599988777,0.002990329974138039
101,minus_interior,all,macro_auprc,0.5775903742469192,19740,27.052094599988777,0.002990329974138039
101,minus_interior,all,nll,1.8149797397963259,19740,27.052094599988777,0.002990329974138039
101,minus_interior,all,brier,0.6903356727031817,19740,27.052094599988777,0.002990329974138039
101,minus_interior,all,ece15,0.25206139867427046,19740,27.052094599988777,0.002990329974138039
101,minus_interior,affected,accuracy,0.4838526912181303,19740,27.052094599988777,0.002990329974138039
101,minus_interior,affected,macro_f1,0.4686570565449096,19740,27.052094599988777,0.002990329974138039
101,minus_interior,affected,macro_auroc,0.806308623709081,19740,27.052094599988777,0.002990329974138039
101,minus_interior,affected,macro_auprc,0.5144478678122363,19740,27.052094599988777,0.002990329974138039
101,minus_interior,affected,nll,2.140786965784906,19740,27.052094599988777,0.002990329974138039
101,minus_interior,affected,brier,0.780950479337035,19740,27.052094599988777,0.002990329974138039
101,minus_interior,affected,ece15,0.3064790786325763,19740,27.052094599988777,0.002990329974138039
101,minus_interior,unaffected,accuracy,0.5848403232012312,19740,27.052094599988777,0.002990329974138039
101,minus_interior,unaffected,macro_f1,0.5585010298201054,19740,27.052094599988777,0.002990329974138039
101,minus_interior,unaffected,macro_auroc,0.8636606537926732,19740,27.052094599988777,0.002990329974138039
101,minus_interior,unaffected,macro_auprc,0.6294942612099528,19740,27.052094599988777,0.002990329974138039
101,minus_interior,unaffected,nll,1.5937216582765708,19740,27.052094599988777,0.002990329974138039
101,minus_interior,unaffected,brier,0.6287984915916962,19740,27.052094599988777,0.002990329974138039
101,minus_interior,unaffected,ece15,0.21510590801517887,19740,27.052094599988777,0.002990329974138039
101,minus_auc,all,accuracy,0.5549954170485792,19740,25.299388299987186,0.0024184234664727626
101,minus_auc,all,macro_f1,0.5344125014251913,19740,25.299388299987186,0.0024184234664727626
101,minus_auc,all,macro_auroc,0.8431870045833579,19740,25.299388299987186,0.0024184234664727626
101,minus_auc,all,macro_auprc,0.5928782256080861,19740,25.299388299987186,0.0024184234664727626
101,minus_auc,all,nll,1.8107428437694753,19740,25.299388299987186,0.0024184234664727626
101,minus_auc,all,brier,0.6739855497834333,19740,25.299388299987186,0.0024184234664727626
101,minus_auc,all,ece15,0.24286627779030995,19740,25.299388299987186,0.0024184234664727626
