task,seed,method,fault,subset,metric,value,n
cooler,105,RO-CAGF,pressure,affected,macro_auroc,0.922273622747403,80
cooler,105,RO-CAGF,pressure,affected,macro_auprc,0.8265818372841308,80
cooler,105,RO-CAGF,pressure,affected,nll,2.6766835531283077,80
cooler,105,RO-CAGF,pressure,affected,brier,0.3499931230831527,80
cooler,105,RO-CAGF,pressure,affected,ece15,0.17499827146530156,80
cooler,105,RO-CAGF,pressure,unaffected,accuracy,0.9552238805970149,134
cooler,105,RO-CAGF,pressure,unaffected,macro_f1,0.9565628815628816,134
cooler,105,RO-CAGF,pressure,unaffected,macro_auroc,0.9828036315536316,134
cooler,105,RO-CAGF,pressure,unaffected,macro_auprc,0.9535343993150397,134
cooler,105,RO-CAGF,pressure,unaffected,nll,0.7138383057538495,134
cooler,105,RO-CAGF,pressure,unaffected,brier,0.08955223777547068,134
cooler,105,RO-CAGF,pressure,unaffected,ece15,0.04477611940298509,134
cooler,105,RO-CAGF,vibration,all,accuracy,0.9065420560747663,214
cooler,105,RO-CAGF,vibration,all,macro_f1,0.9086356925203406,214
cooler,105,RO-CAGF,vibration,all,macro_auroc,0.9507103811681277,214
cooler,105,RO-CAGF,vibration,all,macro_auprc,0.8953398826634608,214
cooler,105,RO-CAGF,vibration,all,nll,1.461605608771223,214
cooler,105,RO-CAGF,vibration,all,brier,0.18691534751111646,214
cooler,105,RO-CAGF,vibration,all,ece15,0.09345722866949635,214
cooler,105,RO-CAGF,vibration,affected,accuracy,0.9120879120879121,91
cooler,105,RO-CAGF,vibration,affected,macro_f1,0.9144444444444444,91
cooler,105,RO-CAGF,vibration,affected,macro_auroc,0.9422090729783038,91
cooler,105,RO-CAGF,vibration,affected,macro_auprc,0.8747391655361295,91
cooler,105,RO-CAGF,vibration,affected,nll,1.40152988475113,91
cooler,105,RO-CAGF,vibration,affected,brier,0.17582417610915999,91
cooler,105,RO-CAGF,vibration,affected,ece15,0.08791065740061332,91
cooler,105,RO-CAGF,vibration,unaffected,accuracy,0.9024390243902439,123
cooler,105,RO-CAGF,vibration,unaffected,macro_f1,0.9078742608154373,123
cooler,105,RO-CAGF,vibration,unaffected,macro_auroc,0.9590088923422257,123
cooler,105,RO-CAGF,vibration,unaffected,macro_auprc,0.9125236100845857,123
cooler,105,RO-CAGF,vibration,unaffected,nll,1.5060518761356827,123
cooler,105,RO-CAGF,vibration,unaffected,brier,0.19512101090605988,123
cooler,105,RO-CAGF,vibration,unaffected,ece15,0.09756073719117697,123
cooler,105,RO-PDRF,pressure,all,accuracy,0.9953271028037384,214
