method,seed,subset,metric,value,n
RO-AT-GATE,104,unaffected,macro_auroc,0.7779464516392688,2599
RO-AT-GATE,104,unaffected,macro_auprc,0.5359877562860413,2599
RO-AT-GATE,104,unaffected,nll,1.6089874149887697,2599
RO-AT-GATE,104,unaffected,brier,0.7153427009845242,2599
RO-AT-GATE,104,unaffected,ece15,0.17667985355202714,2599
RO-PDRF-CAL,104,all,accuracy,0.5488084326306141,4364
RO-PDRF-CAL,104,all,macro_f1,0.5334248410314,4364
RO-PDRF-CAL,104,all,macro_auroc,0.8341465391146391,4364
RO-PDRF-CAL,104,all,macro_auprc,0.5753789067849082,4364
RO-PDRF-CAL,104,all,nll,2.2675362130321686,4364
RO-PDRF-CAL,104,all,brier,0.720295998890495,4364
RO-PDRF-CAL,104,all,ece15,0.30268537345334656,4364
RO-PDRF-CAL,104,affected,accuracy,0.48725212464589235,1765
RO-PDRF-CAL,104,affected,macro_f1,0.483824338749852,1765
RO-PDRF-CAL,104,affected,macro_auroc,0.7953636880877962,1765
RO-PDRF-CAL,104,affected,macro_auprc,0.5124867908318143,1765
RO-PDRF-CAL,104,affected,nll,2.8621647713333727,1765
RO-PDRF-CAL,104,affected,brier,0.847456938314382,1765
RO-PDRF-CAL,104,affected,ece15,0.36780521359727336,1765
RO-PDRF-CAL,104,unaffected,accuracy,0.5906117737591381,2599
RO-PDRF-CAL,104,unaffected,macro_f1,0.5640577641246731,2599
RO-PDRF-CAL,104,unaffected,macro_auroc,0.8644730710816355,2599
RO-PDRF-CAL,104,unaffected,macro_auprc,0.6410206737237025,2599
RO-PDRF-CAL,104,unaffected,nll,1.8637195891762144,2599
RO-PDRF-CAL,104,unaffected,brier,0.6339400704244849,2599
RO-PDRF-CAL,104,unaffected,ece15,0.2586675200291715,2599
PDRF+CD,105,all,accuracy,0.5453712190650779,4364
