seed,teacher,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
103,clean_only,all,macro_f1,0.5358970436054551,19740,14.811983699997654,0.0017142529773778144
103,clean_only,all,macro_auroc,0.8396266777806255,19740,14.811983699997654,0.0017142529773778144
103,clean_only,all,macro_auprc,0.5814442423039702,19740,14.811983699997654,0.0017142529773778144
103,clean_only,all,nll,2.2709668517801886,19740,14.811983699997654,0.0017142529773778144
103,clean_only,all,brier,0.6939963639819172,19740,14.811983699997654,0.0017142529773778144
103,clean_only,all,ece15,0.2815966037751665,19740,14.811983699997654,0.0017142529773778144
103,clean_only,affected,accuracy,0.5115740740740741,19740,14.811983699997654,0.0017142529773778144
103,clean_only,affected,macro_f1,0.4956778420615946,19740,14.811983699997654,0.0017142529773778144
103,clean_only,affected,macro_auroc,0.811361572811884,19740,14.811983699997654,0.0017142529773778144
103,clean_only,affected,macro_auprc,0.5335559272885123,19740,14.811983699997654,0.0017142529773778144
103,clean_only,affected,nll,2.8893910362214155,19740,14.811983699997654,0.0017142529773778144
103,clean_only,affected,brier,0.794090429613204,19740,14.811983699997654,0.0017142529773778144
103,clean_only,affected,ece15,0.3453463330278518,19740,14.811983699997654,0.0017142529773778144
103,clean_only,unaffected,accuracy,0.5766312594840668,19740,14.811983699997654,0.0017142529773778144
103,clean_only,unaffected,macro_f1,0.5599459992572502,19740,14.811983699997654,0.0017142529773778144
103,clean_only,unaffected,macro_auroc,0.8610281430817953,19740,14.811983699997654,0.0017142529773778144
103,clean_only,unaffected,macro_auprc,0.6215548917203512,19740,14.811983699997654,0.0017142529773778144
103,clean_only,unaffected,nll,1.8655658689598393,19740,14.811983699997654,0.0017142529773778144
103,clean_only,unaffected,brier,0.6283808308214983,19740,14.811983699997654,0.0017142529773778144
103,clean_only,unaffected,ece15,0.24148208710148772,19740,14.811983699997654,0.0017142529773778144
103,removal_only,all,accuracy,0.5515582034830431,19740,13.955868300006841,0.001829926671715723
103,removal_only,all,macro_f1,0.5369653341644193,19740,13.955868300006841,0.001829926671715723
103,removal_only,all,macro_auroc,0.8391651982998417,19740,13.955868300006841,0.001829926671715723
103,removal_only,all,macro_auprc,0.5803478737117839,19740,13.955868300006841,0.001829926671715723
103,removal_only,all,nll,2.2179329704020585,19740,13.955868300006841,0.001829926671715723
103,removal_only,all,brier,0.6895499804569357,19740,13.955868300006841,0.001829926671715723
103,removal_only,all,ece15,0.2782299996487707,19740,13.955868300006841,0.001829926671715723
103,removal_only,affected,accuracy,0.5092592592592593,19740,13.955868300006841,0.001829926671715723
103,removal_only,affected,macro_f1,0.4951661627792651,19740,13.955868300006841,0.001829926671715723
103,removal_only,affected,macro_auroc,0.809869044915808,19740,13.955868300006841,0.001829926671715723
103,removal_only,affected,macro_auprc,0.5313539494542175,19740,13.955868300006841,0.001829926671715723
103,removal_only,affected,nll,2.828726191408707,19740,13.955868300006841,0.001829926671715723
103,removal_only,affected,brier,0.7951722889266384,19740,13.955868300006841,0.001829926671715723
103,removal_only,affected,ece15,0.3441345007331283,19740,13.955868300006841,0.001829926671715723
103,removal_only,unaffected,accuracy,0.5792867981790591,19740,13.955868300006841,0.001829926671715723
103,removal_only,unaffected,macro_f1,0.5615917840577688,19740,13.955868300006841,0.001829926671715723
103,removal_only,unaffected,macro_auroc,0.8614807984636648,19740,13.955868300006841,0.001829926671715723
103,removal_only,unaffected,macro_auprc,0.62254287630452,19740,13.955868300006841,0.001829926671715723
103,removal_only,unaffected,nll,1.817534379393148,19740,13.955868300006841,0.001829926671715723
103,removal_only,unaffected,brier,0.6203104702006207,19740,13.955868300006841,0.001829926671715723
103,removal_only,unaffected,ece15,0.23527718940255132,19740,13.955868300006841,0.001829926671715723
103,confidence_selected,all,accuracy,0.5490375802016498,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,all,macro_f1,0.5340890518769909,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,all,macro_auroc,0.839500590221624,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,all,macro_auprc,0.5801034613612249,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,all,nll,2.2529020573860814,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,all,brier,0.6920263372817873,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,all,ece15,0.2814499403390176,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,affected,accuracy,0.5121527777777778,19740,14.141067999997176,0.0016756645260230611
