method,fault,metric,mean,sd,n,ci95
CRF,correlated,ece,0.2692855625023244,0.028579978420983213,10,0.017714054148598835
CRF,correlated,macro_auroc,0.8060947372735454,0.01131171264598662,10,0.007011072134934936
CRF,correlated,macro_f1,0.4999973209047597,0.022876852602304276,10,0.014179220144169405
CRF,correlated,nll,2.3427558364582812,0.2161836773663428,10,0.13399203143201233
CRF,delayed_quality,accuracy,0.5412923923006416,0.025552848321928535,10,0.01583781947481271
CRF,delayed_quality,aurc,0.2593377708676087,0.02246911925735195,10,0.013926504398751906
CRF,delayed_quality,ece,0.2287244142214985,0.027140444905392733,10,0.01682182203182541
CRF,delayed_quality,macro_auroc,0.8327790358397864,0.010179803191114457,10,0.006309507386369716
CRF,delayed_quality,macro_f1,0.5184726482110944,0.023975301920330056,10,0.014860046085056549
CRF,delayed_quality,nll,1.89800160579634,0.15532483924583707,10,0.09627133276640562
CRF,misleading_quality,accuracy,0.49523373052245645,0.021093694626843747,10,0.013074007380620825
CRF,misleading_quality,aurc,0.350737270871128,0.02833284045992265,10,0.017560876453363523
CRF,misleading_quality,ece,0.30440841884711645,0.02871796297044074,10,0.017799577858405632
CRF,misleading_quality,macro_auroc,0.7696304661227,0.014088276559464421,10,0.008732004277916561
CRF,misleading_quality,macro_f1,0.48039854961647893,0.02160686658215078,10,0.013392074653798925
CRF,misleading_quality,nll,3.01290630458976,0.33321700791975717,10,0.2065300412260284
CRF,silent_gaussian,accuracy,0.5352199816681943,0.02322909213238141,10,0.014397540466779667
