method,pool,subset,metric,value
PDRF_RISK,majority_vote,all,brier,0.7816987473227321
PDRF_RISK,majority_vote,all,ece15,0.3512068438698057
PDRF_RISK,majority_vote,affected,accuracy,0.4753541076487252
PDRF_RISK,majority_vote,affected,macro_f1,0.4725231653997173
PDRF_RISK,majority_vote,affected,macro_auroc,0.7173422614842114
PDRF_RISK,majority_vote,affected,macro_auprc,0.4216053302546063
PDRF_RISK,majority_vote,affected,nll,12.0886247169643
PDRF_RISK,majority_vote,affected,brier,0.8847340258062877
PDRF_RISK,majority_vote,affected,ece15,0.3903682719505888
PDRF_RISK,majority_vote,unaffected,accuracy,0.5983070411696807
PDRF_RISK,majority_vote,unaffected,macro_f1,0.5669690977044265
PDRF_RISK,majority_vote,unaffected,macro_auroc,0.772905341471113
PDRF_RISK,majority_vote,unaffected,macro_auprc,0.5100057400026023
PDRF_RISK,majority_vote,unaffected,nll,9.626362736326076
PDRF_RISK,majority_vote,unaffected,brier,0.7117267325003098
PDRF_RISK,majority_vote,unaffected,ece15,0.32461203026357954
PDRF_RISK,validation_selected,all,accuracy,0.5426214482126489
PDRF_RISK,validation_selected,all,macro_f1,0.5257157160925318
PDRF_RISK,validation_selected,all,macro_auroc,0.8313416662214982
PDRF_RISK,validation_selected,all,macro_auprc,0.5687624352060002
PDRF_RISK,validation_selected,all,nll,2.414547530103074
PDRF_RISK,validation_selected,all,brier,0.7263833432759551
PDRF_RISK,validation_selected,all,ece15,0.30451876841533304
PDRF_RISK,validation_selected,affected,accuracy,0.4668555240793201
PDRF_RISK,validation_selected,affected,macro_f1,0.46516875842530797
PDRF_RISK,validation_selected,affected,macro_auroc,0.7862529198674238
PDRF_RISK,validation_selected,affected,macro_auprc,0.4981253968055428
PDRF_RISK,validation_selected,affected,nll,3.188507286682442
PDRF_RISK,validation_selected,affected,brier,0.876796149956924
PDRF_RISK,validation_selected,affected,ece15,0.38932826600061265
PDRF_RISK,validation_selected,unaffected,accuracy,0.5940746440938822
PDRF_RISK,validation_selected,unaffected,macro_f1,0.5599481540224138
PDRF_RISK,validation_selected,unaffected,macro_auroc,0.8658784255421259
PDRF_RISK,validation_selected,unaffected,macro_auprc,0.6311898186731825
PDRF_RISK,validation_selected,unaffected,nll,1.888945771594961
PDRF_RISK,validation_selected,unaffected,brier,0.6242369008781443
PDRF_RISK,validation_selected,unaffected,ece15,0.24692409982952807
PDRF_CAL,probability_mean,all,accuracy,0.5545371219065078
PDRF_CAL,probability_mean,all,macro_f1,0.5379186989132175
PDRF_CAL,probability_mean,all,macro_auroc,0.8446447692367934
PDRF_CAL,probability_mean,all,macro_auprc,0.6082179467550083
PDRF_CAL,probability_mean,all,nll,1.8805523074654134
PDRF_CAL,probability_mean,all,brier,0.6421581993711357
PDRF_CAL,probability_mean,all,ece15,0.2242795311454018
PDRF_CAL,probability_mean,affected,accuracy,0.47932011331444757
PDRF_CAL,probability_mean,affected,macro_f1,0.47368128302679374
PDRF_CAL,probability_mean,affected,macro_auroc,0.8049802074951488
PDRF_CAL,probability_mean,affected,macro_auprc,0.5365575091399125
PDRF_CAL,probability_mean,affected,nll,2.372247565395588
PDRF_CAL,probability_mean,affected,brier,0.7599415057540843
PDRF_CAL,probability_mean,affected,ece15,0.2938669228688853
PDRF_CAL,probability_mean,unaffected,accuracy,0.605617545209696
PDRF_CAL,probability_mean,unaffected,macro_f1,0.5766270758354152
PDRF_CAL,probability_mean,unaffected,macro_auroc,0.8733565710414791
PDRF_CAL,probability_mean,unaffected,macro_auprc,0.6629588253858016
PDRF_CAL,probability_mean,unaffected,nll,1.5466384443462298
PDRF_CAL,probability_mean,unaffected,brier,0.5621706904192679
PDRF_CAL,probability_mean,unaffected,ece15,0.17702224125950183
