score_clean,score_degraded,weight_clean,weight_degraded
-1.9162463,2.9996636,0.32864872,0.12528789
-1.1075411,2.9999747,0.26592705,0.11483627
-1.226451,2.9996912,0.27507526,0.11654543
-1.8122985,2.9959908,0.42521024,0.18190515
-1.2754667,2.9994652,0.2781525,0.11687339
-1.8890936,2.9998732,0.37267187,0.14893061
-1.1142151,2.9999988,0.26388213,0.11360438
-1.319614,2.657805,0.28475547,0.12838116
-1.8414989,2.9999967,0.5204602,0.24444035
-1.2247326,2.9999337,0.26568532,0.11176959
-0.96362066,2.9936616,0.2630119,0.11715073
-1.8398699,2.9996557,0.44659108,0.19398285
-1.0765778,2.9158092,0.25578237,0.11243532
-1.317748,2.9695017,0.28117213,0.11810829
-1.8149784,2.9980068,0.40026465,0.16692087
-1.3864126,2.9852273,0.36732554,0.16292585
-0.980441,2.9982214,0.26156217,0.1158295
-1.525217,2.572547,0.38360322,0.18261604
-1.8828995,2.9997694,0.39204586,0.15984419
-1.8092206,2.9999967,0.29846463,0.113354586
-1.2122402,2.8968396,0.3486729,0.1608189
-1.8232595,2.9994667,0.2956046,0.11164981
-1.4155989,2.99883,0.360527,0.15753496
-1.4643939,2.9988291,0.29173747,0.11891279
-1.2324011,2.999949,0.3492088,0.15701519
-1.1036308,2.9998791,0.47688386,0.24630669
-1.2510207,2.9997764,0.3556183,0.1601473
-1.3853184,2.3096905,0.28134292,0.13452107
-1.7973114,2.968451,0.2909581,0.11084133
-1.2153256,2.8810847,0.34820238,0.16096671
-1.85996,2.9989474,0.53198534,0.2522571
-1.8014565,2.4262817,0.28235793,0.12028544
-0.9620743,2.9948683,0.24691476,0.108672716
-0.93446565,2.9988875,0.30519822,0.14112185
-1.3668005,2.909793,0.2758204,0.115634315
-1.2525449,2.7619963,0.37435576,0.17987263
-0.930738,2.999995,1.0,1.0
-1.7373195,2.9931502,0.5613907,0.2817476
-1.5887958,2.981177,0.28662503,0.11361603
-0.9364251,2.986525,0.3465206,0.16588089
-1.770112,2.998232,0.41575167,0.1776539
-1.0287912,2.9997149,0.27391446,0.12110811
-1.8146143,2.9899518,0.41698736,0.17707461
-1.6584384,2.9999983,0.2924653,0.11424958
-0.99398136,2.9999754,0.27043736,0.12016233
-1.1958404,2.9832525,0.35610145,0.16286021
-1.7419202,2.9993465,0.38753235,0.16205543
-1.6625175,2.7997694,0.41299245,0.1873716
-1.2354026,2.9996877,0.26909956,0.11324969
-1.7121828,2.9822164,0.29784164,0.11596618
-1.7382034,2.9998927,0.38926545,0.16315682
-1.1025792,2.073233,0.26770303,0.1418193
-0.9577925,2.9842353,0.26104027,0.11649222
-1.0382435,2.999061,0.26875848,0.11813019
-1.0228887,2.9971256,0.35623327,0.16843575
-1.2332121,2.999682,0.35301173,0.15921903
-1.6645963,2.963572,0.39624143,0.17105156
-1.2427981,2.9999793,0.26078832,0.10884732
-1.253099,2.9995024,0.26019737,0.10831268
-1.1140718,2.9918087,0.35786805,0.16643602
-1.2039822,2.9999666,0.36449286,0.16701896
-0.9885446,2.9926748,0.27453938,0.12270968
-1.807845,2.9999995,0.38824204,0.16020966
